Spanish,English
de,of
que,that
no,no
a,a
la,the
el,the
y,and
es,it is
en,in
lo,it
un,a
por,by
qué,what
me,i
una,a
los,the
se,i know
te,tea
con,with
para,for
está,this
mi,me
pero,but
sí,yes
si,yes
bien,right
eso,it's
su,its
las,the
yo,me
del,of
como,what
aquí,here
tu,your
al,to the
más,plus
le,you
esto,this
todo,all
ya,already
estoy,am
ahora,now
muy,very
ha,he has
esta,is
así,so
vamos,we go
algo,something
hay,there are
bueno,okay
tengo,i've got
él,the
cuando,when
estás,are
sé,he
tú,your
nos,us
nada,any
cómo,what
este,east
o,either
he,he
ser,be
tiene,have
puedo,can i
ella,she
quiero,i want
hacer,do
fue,it was
gracias,thank you
vez,time
era,it was
soy,am
sólo,single
todos,everybody
porque,because
son,are
tienes,you have
creo,i think
voy,i go
sabes,you know
estaba,i was
puede,can
eres,are
ese,that
usted,you
entonces,then
hola,hello
solo,only
verdad,TRUE
casa,house
tan,so
quién,who
sus,their
tiempo,weather
dos,two
esa,this
nunca,never
dónde,where
va,goes
